Date,Close
2026-06-08,208.64
2026-06-09,208.19
2026-06-10,200.42
2026-06-11,204.87
2026-06-12,205.19
2026-06-15,212.45
2026-06-16,207.41
2026-06-17,204.65
2026-06-18,210.69
2026-06-22,208.65
2026-06-23,200.04
2026-06-24,199.0
2026-06-25,195.74
2026-06-26,192.53
2026-06-29,194.97
2026-06-30,200.09
2026-07-01,197.58
2026-07-02,194.83
2026-07-06,195.55
2026-07-07,196.93
2026-07-08,204.12
2026-07-09,202.78
2026-07-10,210.96
2026-07-13,203.53
2026-07-14,211.8
2026-07-15,212.5
2026-07-16,207.4
2026-07-17,202.81
2026-07-20,203.28
2026-07-21,207.29
2026-07-22,212.06
2026-07-23,208.76
2026-07-24,206.84
2026-07-27,196.51
2026-07-28,197.01
2026-07-29,190.01
2026-07-30,195.04
2026-07-31,200.75
2026-08-03,206.64
2026-08-04,211.94
